Family_Members,Bathrooms,Washing_Machine,Garden,Daily_Water_Usage
1,2,0,1,261
5,1,0,0,620
6,1,0,1,841
4,3,0,1,632
7,1,0,1,939
7,1,0,1,927
7,1,0,1,934
6,1,1,1,882
4,2,1,1,667
4,1,0,1,591
6,3,0,0,807
5,1,1,1,763
5,2,0,0,635
2,3,1,0,369
2,2,1,1,404
7,1,1,0,912
7,1,0,0,870
7,1,1,0,921
1,1,0,1,245
3,3,0,0,420
4,1,0,0,489
6,3,0,0,811
5,1,1,1,753
1,1,1,0,175
3,1,0,1,445
1,2,1,0,207
7,2,1,1,1002
3,2,1,0,444
6,2,0,0,766
7,3,0,0,931
5,2,1,0,718
6,2,1,1,913
2,2,0,0,303
4,1,1,0,558
7,2,0,1,966
5,1,1,1,751
2,1,1,1,398
5,2,1,0,681
5,2,0,0,640
3,3,0,0,430
7,3,1,1,1032
4,1,0,1,567
3,1,1,1,513
5,1,1,1,756
5,2,0,0,670
4,2,1,1,653
2,1,0,0,270
1,3,0,1,284
3,3,1,0,481
2,1,1,0,329
5,3,0,0,676
6,2,1,0,813
2,1,1,1,381
3,3,0,1,512
2,2,0,0,284
1,3,0,1,264
7,1,0,0,866
2,2,1,0,336
5,1,1,1,737
1,1,1,0,210
7,2,1,0,927
1,3,1,0,261
6,2,1,1,885
5,1,0,0,626
5,2,1,0,683
6,3,1,1,934
7,3,0,0,897
3,3,1,0,500
7,2,1,1,1027
3,3,1,1,574
6,3,1,0,826
7,3,1,1,1029
6,2,1,1,898
4,1,1,0,546
7,1,1,1,1012
5,2,0,0,665
5,3,0,0,660
2,2,0,0,279
4,2,0,1,591
4,1,0,0,493
1,1,0,0,148
6,3,0,1,885
1,1,1,1,268
5,3,0,1,746
3,3,0,1,516
4,1,1,0,575
5,2,1,1,794
5,1,0,0,618
2,2,1,0,344
2,3,1,1,456
3,1,1,0,437
7,3,0,0,911
1,3,0,1,268
5,3,0,0,660
6,3,0,0,782
2,3,0,0,327
4,2,0,0,545
5,2,0,0,666
3,3,0,1,498
6,2,1,0,809
1,2,1,0,230
7,1,1,1,989
5,1,0,0,608
4,1,1,0,565
3,3,1,1,570
3,3,0,1,505
6,2,1,1,885
7,3,1,1,1036
2,1,1,1,392
1,1,0,1,216
4,1,1,0,542
7,2,0,1,980
2,1,1,0,323
6,1,1,0,797
1,2,0,0,175
6,2,0,0,750
7,2,0,0,909
7,1,0,0,853
2,1,0,1,365
3,3,1,0,490
3,2,1,0,457
3,2,0,0,413
1,3,1,1,328
1,1,0,0,146
2,2,0,0,276
1,1,0,1,226
4,3,0,1,621
1,1,1,0,193
6,2,0,0,778
6,3,1,0,838
3,3,1,1,572
1,2,1,1,283
1,1,0,0,127
2,2,0,1,383
4,1,0,0,512
2,3,0,1,375
1,3,0,1,277
3,3,0,1,531
3,3,0,1,502
2,3,1,1,438
6,3,1,1,941
6,1,1,0,792
7,2,0,0,892
5,3,1,0,723
4,1,1,1,616
1,3,0,1,265
2,3,1,0,367
7,1,0,1,954
